"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","walk","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly"
"Wisely, Brett","689172","2023","120","131","21","14","5","0","2","40","9","0","0","1","1"
"Dickerson, Corey","572816","2023","144","152","36","26","7","1","2","28","7","0","0","0","1"
"Rivera, Emmanuel","656896","2023","257","283","67","50","13","0","4","56","22","0","0","0","4"
"Meadows, Parker","678009","2023","125","145","29","20","4","2","3","37","17","2","1","0","1"
"Judge, Aaron","592450","2023","367","458","98","45","16","0","37","130","88","0","9","0","3"
"Adams, Riley","656180","2023","143","158","39","20","13","2","4","45","11","2","0","1","1"
"Narváez, Omar","553882","2023","128","146","27","20","5","0","2","27","14","0","0","1","3"
"Story, Trevor","596115","2023","158","168","32","20","9","0","3","55","9","1","0","0","0"
"Siri, Jose","642350","2023","338","364","75","35","13","2","25","130","20","2","0","1","3"
"Jansen, Danny","643376","2023","268","301","61","29","15","0","17","62","23","10","1","0","0"
"Nimmo, Brandon","607043","2023","592","682","162","102","30","6","24","146","74","11","0","1","4"
"Vogelbach, Daniel","596129","2023","275","319","64","43","8","0","13","81","42","2","1","0","0"
"Odor, Rougned","596059","2023","138","157","28","15","9","0","4","37","17","2","0","0","0"
"Rodgers, Brendan","663898","2023","178","192","46","32","9","1","4","41","11","3","0","0","0"
"Sánchez, Gary","596142","2023","240","267","52","24","9","0","19","67","21","4","0","0","2"
"Pham, Tommy","502054","2023","426","481","109","63","27","3","16","106","47","2","1","0","6"
"Senzel, Nick","669222","2023","301","330","71","48","10","0","13","74","26","1","0","0","2"
"Belt, Brandon","474832","2023","339","404","86","44","23","0","19","141","61","2","1","0","2"
"Wendle, Joey","621563","2023","297","318","63","42","16","3","2","67","13","2","0","3","3"
"Duffy, Matt","622110","2023","191","209","48","38","8","0","2","39","12","4","0","0","2"
"Machado, Manny","592518","2023","543","601","140","89","21","0","30","109","50","2","1","0","6"
"Encarnacion-Strand, Christian","687952","2023","222","241","60","40","7","0","13","69","14","5","0","0","0"
"Madrigal, Nick","663611","2023","270","294","71","52","16","1","2","24","10","9","0","5","0"
"Laureano, Ramón","657656","2023","361","404","81","50","18","4","9","114","33","9","0","0","1"
"Volpe, Anthony","683011","2023","541","601","113","65","23","4","21","167","52","5","0","1","2"
"Chapman, Matt","656305","2023","509","581","122","64","39","2","17","165","62","8","1","0","2"
"Tellez, Rowdy","642133","2023","311","351","67","44","9","1","13","86","35","0","2","0","5"
"Verdugo, Alex","657077","2023","546","602","144","89","37","5","13","93","45","6","1","0","5"
"Rocchio, Brayan","677587","2023","81","86","20","14","6","0","0","27","4","0","0","0","1"
"Stephenson, Tyler","663886","2023","465","517","113","78","20","2","13","135","47","4","2","0","1"
"Contreras, William","661388","2023","540","611","156","100","38","1","17","126","63","5","2","1","2"
"Kirilloff, Alex","666135","2023","281","319","76","50","14","1","11","80","28","7","1","0","3"
"Haggerty, Sam","664059","2023","91","108","23","18","3","1","1","17","15","1","0","1","0"
"Duran, Ezequiel","677649","2023","406","439","112","74","22","2","14","120","23","7","1","1","2"
"Polanco, Jorge","593871","2023","302","343","77","45","18","0","14","88","36","2","0","0","3"
"Doyle, Brenton","686668","2023","399","431","81","50","16","5","10","151","22","4","0","3","3"
"Raley, Luke","670042","2023","357","406","89","44","23","3","19","128","28","18","0","1","2"
"Melendez Jr., MJ","669004","2023","533","602","125","75","29","5","16","170","62","3","2","0","4"
"Cabrera, Miguel","408234","2023","334","370","86","62","20","0","4","74","31","2","0","0","3"
"Martini, Nick","605361","2023","72","79","19","9","3","1","6","15","5","2","0","0","0"
"Perez, Salvador","521692","2023","538","580","137","93","21","0","23","135","19","13","6","0","8"
"Rengifo, Luis","650859","2023","394","445","104","69","15","4","16","82","41","6","0","0","4"
"Toglia, Michael","669911","2023","141","152","23","14","5","0","4","50","10","1","0","0","0"
"Cron, C.J.","543068","2023","258","278","64","40","12","0","12","65","17","1","0","0","2"
"Gomes, Yan","543228","2023","382","419","102","70","20","2","10","81","21","9","1","0","7"
"Anderson, Tim","641313","2023","493","524","121","100","18","2","1","122","26","3","0","0","2"
"Mervis, Matt","670223","2023","90","99","15","10","2","0","3","32","8","1","0","0","0"
"Canzone, Dominic","686527","2023","173","182","38","19","13","0","6","32","8","1","0","0","0"
"Conforto, Michael","624424","2023","406","470","97","68","14","0","15","106","53","7","4","0","4"
"Jung, Josh","673962","2023","478","515","127","78","25","1","23","151","30","5","0","0","2"
"Mateo, Jorge","622761","2023","318","350","69","46","14","2","7","82","22","1","0","5","3"
"Perkins, Blake","663368","2023","143","168","31","20","7","0","4","46","23","0","0","2","0"
"Robles, Victor","645302","2023","107","126","32","26","5","1","0","18","11","4","0","4","0"
"Springer III, George","543807","2023","613","683","158","111","25","1","21","125","60","5","1","0","3"
"Gelof, Zack","680869","2023","270","300","72","37","20","1","14","82","26","3","1","0","1"
"Kelenic, Jarred","672284","2023","372","416","94","56","25","2","11","132","41","1","4","0","2"
"Delay, Jason","641511","2023","167","187","42","29","11","1","1","44","14","3","0","2","1"
"Rutschman, Adley","668939","2023","588","687","163","111","31","1","20","101","92","2","6","0","5"
"Bryant, Kris","592178","2023","300","335","70","50","10","0","10","68","29","6","0","0","0"
"O'Hearn, Ryan","656811","2023","346","368","100","63","22","1","14","82","15","3","2","1","3"
"Dozier, Hunter","641531","2023","82","91","15","10","2","1","2","29","8","0","0","0","1"
